Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-2, -1)",4929,4.69790003978915,6.047401084332404
"(-2, 0)",5427,4.7298732465345905,6.096083646202658
"(-2, 1)",4894,4.7238900753018696,6.254429320934536
"(-1, -1)",4652,4.671898408022745,6.258094656633856
"(-1, -1)",4559,4.650694634649847,8.77334022694839
"(-1, 0)",4806,4.697935569390957,6.26557455067538
"(-1, 0)",3887,4.592258079858358,10.807271000919428
"(-1, 1)",3520,4.52662304885203,15.45649964573182
"(-1, 1)",5508,4.732317690396126,6.08422052285632
"(0, -2)",3208,4.537330067926432,17.17936548127863
"(0, -1)",3633,4.619157217366179,8.172471807008417
"(0, -1)",4729,4.684598850176684,6.213233232334038
"(0, 0)",4300,4.646303894376048,7.71816071537602
"(0, 0)",4035,4.611070035573316,7.633844817368904
"(0, 0)",4906,4.6989633370250665,6.161979910630317
"(0, 1)",5208,4.7107712466244855,6.307661370816313
"(0, 1)",3928,4.567704297943489,15.154009145774431
"(0, 2)",4672,4.686237110925586,6.770703620915911
"(0, 2)",1953,4.339336821540807,26.934512079223953
"(1, -1)",5022,4.68754326072787,6.090773872294012
"(1, -1)",4658,4.637947247850963,10.288665966400464
"(1, 0)",3862,4.577987109495043,10.101902794250218
"(1, 0)",5033,4.710719257765528,5.981529043052369
"(1, 1)",5263,4.717830500424065,6.380080435542303
"(1, 1)",2883,4.454830222647507,21.417616035121554
"(2, -1)",5439,4.728158225565394,6.1108795554460675
"(2, 0)",5344,4.728269866130648,6.031610398579403
"(2, 0)",2801,4.500589003638284,19.45781707661625
"(2, 1)",5308,4.715782370290229,7.547937614416473
"(3, -1)",5645,4.7277150560442855,7.030395986327397
"(3, 0)",2447,4.412098667860815,26.98801135125536
"(3, 0)",6001,4.775829304012799,7.033270507761474
"(3, 1)",5393,4.728481006625338,8.779931598845712
"(4, -1)",5445,4.7120202353347835,8.511199011593174
"(4, 0)",5111,4.714056854634465,8.645587582770396
"(4, 0)",1829,4.304731456160488,33.16295882713667
"(4, 1)",4838,4.695689598278206,10.142813440872878
"(5, -1)",4340,4.648811109230488,7.976089105058262
"(5, 0)",1744,4.264108128242651,36.39807549510943
"(5, 0)",4940,4.688026223184463,9.359250723900916
"(5, 1)",4908,4.64967200810276,11.036093179745032
"(6, -1)",5054,4.668077642626961,11.203261608719384
"(6, 0)",4930,4.681072878983717,10.8855527297553
"(6, 0)",1763,4.24560894622174,37.71776104652901
"(6, 1)",4617,4.656367961951609,11.242548453003474
