Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-6, 0)",1527,4.198899729988098,33.78252342922525
"(-5, 0)",1575,4.209786033454364,34.82092262354825
"(-4, 0)",1957,4.296414859909885,33.6115952585258
"(-3, -3)",1688,4.234256032068918,33.247579266571556
"(-3, 0)",2618,4.4213587515509545,26.063540426093414
"(-3, 3)",1768,4.2395215412069716,27.59835531506375
"(-2, -2)",2190,4.334090835939773,29.92794604101247
"(-2, -1)",2689,4.442523001977581,24.193806108125894
"(-2, 0)",3201,4.529148602560663,20.4689813152523
"(-2, 1)",2405,4.471820221975463,22.433147673995524
"(-2, 2)",2090,4.34643857834993,29.035557015447928
"(-1, -2)",2284,4.414278416377656,26.87624391417232
"(-1, -1)",3759,4.573891358917724,15.527229041796055
"(-1, 0)",4365,4.666382218394538,11.521285899433137
"(-1, 1)",3718,4.583150515456658,14.596843124141284
"(-1, 2)",2581,4.3892007864139595,27.58203095997283
"(0, -3)",1925,4.261825157135476,35.99663528789577
"(0, -2)",2353,4.447758172554454,25.03333555525698
"(0, -1)",3696,4.58553134420394,16.279244066010758
"(0, 0)",4230,4.669687660830736,6.9387449163512125
"(0, 1)",4435,4.649081549475435,11.938358063810863
"(0, 2)",2735,4.451686365762649,23.38206285777135
"(0, 3)",1854,4.279467975065454,34.24505411802061
"(1, -2)",2400,4.3784850834829,28.929288815630535
"(1, -1)",3448,4.536981826249568,19.60449530652936
"(1, 0)",3308,4.552321890838715,13.54183333938501
"(1, 0)",4711,4.659924357106499,13.261323653451072
"(1, 1)",3388,4.543995611820383,18.908659622679995
"(1, 2)",2350,4.366970663675615,29.713315182564603
"(2, -2)",1878,4.297776019406682,33.61349299421572
"(2, -1)",2863,4.451600786093537,25.09422451718527
"(2, 0)",2594,4.444259190542018,23.745652161839526
"(2, 1)",2180,4.360727234627262,29.236788383246264
"(2, 2)",1706,4.244484502160249,35.784772991944706
"(3, -3)",1464,4.197783865413235,31.90023486641165
"(3, 0)",2045,4.324564358141192,31.67669100911816
"(3, 3)",1595,4.194833876039941,31.58707276261399
"(4, 0)",1891,4.294078070025569,29.139679871064693
"(5, 0)",1633,4.221808020968442,34.138701329850555
"(6, 0)",2005,4.319582879619109,17.401538774503287
