Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-5, -8)",1494,4.21151610634264,35.09737553110122
"(-5, 0)",1387,4.1796906259667095,39.73608437370518
"(-5, 0)",1433,4.17992089873421,40.39781339204683
"(-4, 0)",1648,4.234832870797082,37.81311577251274
"(-3, -3)",1308,4.125251993284723,47.857421259318755
"(-3, -2)",1579,4.222728384238012,37.962163493419
"(-3, -1)",1518,4.288237456886919,35.489144039299426
"(-3, 0)",2199,4.385017285742851,29.055193811729623
"(-3, 1)",1957,4.297879768048192,35.86506725003202
"(-3, 2)",1769,4.2221271099713205,39.076797112965195
"(-3, 3)",1459,4.147707520573505,46.86250263538045
"(-2, -3)",1395,4.201311983800345,40.01027944330873
"(-2, -2)",2013,4.307399978406419,33.64703412505471
"(-2, -1)",3322,4.505737518147759,22.60261924546742
"(-2, 0)",3553,4.562691421457266,19.526365161182028
"(-2, 1)",2879,4.441183798738675,25.01011393268568
"(-2, 2)",1441,4.238798731605794,33.71434798653279
"(-2, 3)",1408,4.1714568600647794,40.13672168211182
"(-1, -3)",1647,4.2691956061892515,37.20785192009188
"(-1, -2)",3143,4.481561036587463,23.769657530683507
"(-1, -1)",4614,4.671022935312047,12.532617754708928
"(-1, 0)",4112,4.676322886425347,10.464837694756646
"(-1, 0)",4756,4.7005753398647245,10.229277227176683
"(-1, 1)",3529,4.546760086178376,19.331355551822824
"(-1, 2)",2406,4.361055504104249,31.924951164707768
"(-1, 3)",1513,4.198276322642384,38.26219612121607
"(0, -3)",1603,4.243875289243208,36.229060202417024
"(0, -3)",1598,4.218614586822112,38.56353564729019
"(0, -2)",2544,4.511794150546478,22.59549395001785
"(0, 0)",4656,4.640899025981189,7.09612376433892
"(0, 0)",4478,4.644591979837679,7.015374980462727
"(0, 1)",3924,4.602822993905033,15.922239242070356
"(0, 2)",2131,4.370210901534923,29.558148946000937
"(0, 3)",1652,4.238035733498064,38.4818852309323
"(0, 3)",1665,4.24300501787605,38.76407736434458
"(1, -3)",1683,4.252884485562349,37.902904751339285
"(1, -2)",2601,4.419046269052461,27.79330306834528
"(1, -1)",4192,4.606691215250675,16.772972828003056
"(1, 0)",4084,4.626402490731017,11.500375255532413
"(1, 1)",2730,4.473981721839103,23.5833397515878
"(1, 2)",1931,4.27748532910549,36.27236786190835
"(1, 3)",1547,4.206109755521157,39.99996148286264
"(2, -3)",1554,4.2022735992310185,39.80586334214736
"(2, -2)",1880,4.294158949142351,35.431170192637154
"(2, -1)",3358,4.503346626764065,21.942777623012493
"(2, 0)",3722,4.519533478503633,20.338553164874195
"(2, 1)",2170,4.370581232672747,30.132690200502836
"(2, 2)",1636,4.238369225598375,38.60568525909095
"(2, 3)",1522,4.191419789425351,39.01543904075004
"(3, -3)",1189,4.158374125878935,37.696011799297175
"(3, -3)",1178,4.129757190845982,43.12444627306144
"(3, -2)",2193,4.3027822582647,34.44383696538451
"(3, -1)",2026,4.307181144251378,33.717335561562905
"(3, 0)",2434,4.382917704300834,29.82660446151322
"(3, 1)",1680,4.278132534404501,36.633557291173695
"(3, 1)",1776,4.271782048008336,35.80547436869798
"(3, 2)",1360,4.197700485516524,40.9167035118798
"(3, 3)",1250,4.153780037655416,40.118842878349795
"(3, 3)",1558,4.1769639743699845,41.211743856232765
"(4, 0)",1690,4.263265207157393,35.33158751986495
"(4, 0)",1789,4.2883261592304995,35.95581151359614
"(5, -1)",1385,4.199502376252641,39.414766140260035
"(5, 0)",1639,4.1984786943025325,41.32779179268528
"(5, 0)",1517,4.187639068875412,41.949635387588316
"(5, 0)",1469,4.183023085970157,43.366687492736574
"(5, 1)",1382,4.173318061185494,45.764378014424025
"(6, 0)",1438,4.1405512424840625,50.56256035706977
"(6, 0)",1376,4.168169191107048,43.89901776183654
"(7, 0)",1506,4.180910691155667,39.28210425706404
"(10, 0)",1332,4.149435277280531,41.2889633307179
