Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-4, 0)",4565,4.654343074366485,7.117946450033203
"(-3, 0)",4847,4.70068246911484,6.761963240930043
"(-2, 0)",5716,4.703570714028027,6.1272492473601385
"(-1, -1)",5216,4.6966849814564195,6.082972497514816
"(-1, -1)",4404,4.617172228273701,11.988592441722956
"(-1, 0)",5526,4.710043077110023,6.15085563302499
"(-1, 0)",3539,4.588713190314655,10.948394897071097
"(-1, 1)",5133,4.69273100621064,6.532307562283279
"(-1, 1)",2669,4.421537661831246,24.001377358169417
"(0, -1)",5196,4.672606338561283,6.364833977463599
"(0, -1)",4084,4.580695658722813,10.313608554482713
"(0, 0)",4096,4.642684715620449,6.803567169044747
"(0, 0)",4814,4.64726807373664,6.313371670843414
"(0, 1)",3088,4.51221565960773,19.904114139791282
"(0, 1)",5332,4.712650731911628,6.2562375629713545
"(0, 2)",4845,4.665205311983321,8.277968257380895
"(0, 2)",1968,4.297618902665445,32.48018166608223
"(0, 3)",1780,4.22795082215024,34.501871509117514
"(0, 3)",4630,4.612350227240375,10.316675391552472
"(0, 4)",1483,4.215963877651741,23.93462909672579
"(0, 4)",3663,4.53978868883595,10.930138905722048
"(0, 5)",3407,4.519887479365063,13.388827054703688
"(0, 5)",1460,4.113502982197347,37.60593066436915
"(0, 6)",3485,4.515426384815293,11.638269796740305
"(0, 7)",968,4.033779742000772,40.6206658054267
"(0, 7)",3260,4.498426441460686,11.842362128570015
"(0, 8)",3484,4.522543977558658,8.665041972577884
"(0, 8)",2097,4.331760144656083,15.75289794057736
"(0, 9)",2998,4.459581500644262,7.547644796127691
"(1, -1)",3501,4.5450714181202,17.740164206867437
"(1, -1)",5360,4.72991400536227,6.444306006684293
"(1, 0)",5168,4.730075445364027,6.302567886572961
"(1, 0)",3630,4.52985156067146,17.488521429268687
"(1, 1)",5852,4.7100256102172695,8.134870726571306
"(1, 1)",2710,4.416869031606439,25.53059911074874
"(2, 0)",2236,4.35475282451139,31.209012159544816
"(2, 0)",5937,4.733031021799742,7.775873210547137
"(3, 0)",4679,4.68024547576156,9.746791505776473
"(4, 0)",4580,4.649667228906378,13.300894286378483
"(5, 0)",3956,4.578488741852809,14.438027728862966
"(6, 0)",3668,4.543566023344559,17.29060665775716
