Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-6, 0)",1311,4.1963326150286,41.53571092032269
"(-6, 0)",1387,4.238344142492676,39.02403803156689
"(-5, 0)",1666,4.276292857600159,37.518930913472545
"(-4, 0)",1838,4.291000441188956,36.97506650614142
"(-3, -3)",3024,4.542061500505642,14.670361422043237
"(-3, -2)",3459,4.550320151143711,14.587555382649084
"(-3, -1)",3196,4.584392793210286,13.890993776813518
"(-3, 0)",2930,4.607363103039854,13.787533262714026
"(-3, 1)",2601,4.555065422608555,14.549300969999067
"(-3, 2)",2966,4.547509789492333,16.243676412649528
"(-3, 3)",3902,4.6184477601928196,12.743516666007416
"(-2, -3)",2937,4.576441701837686,13.921559002244928
"(-2, 0)",4225,4.619926984350061,13.914916829724522
"(-2, 3)",3273,4.536955096870853,15.920715788788712
"(-1, -3)",3329,4.587116359640609,13.696514072266742
"(-1, -1)",3895,4.6365909479857725,14.258777081926114
"(-1, 0)",4419,4.706647783238972,11.537192122799754
"(-1, 0)",4322,4.658584106178358,12.849760400950624
"(-1, 1)",3818,4.6950095832323715,11.781763719630858
"(-1, 1)",2895,4.640995307382944,13.608135067280857
"(-1, 3)",3435,4.53231696343825,16.852632986785878
"(0, -3)",3309,4.660520719748278,11.623263388747121
"(0, -2)",3458,4.596211798303497,14.563995615519097
"(0, -1)",3834,4.637725175333793,12.684318295473771
"(0, 0)",3956,4.688438304091425,12.798872224926798
"(0, 1)",3327,4.698486644446309,11.259325273125526
"(0, 2)",2708,4.592854018058846,14.74375638017604
"(0, 3)",3289,4.548723828233793,16.11588414348057
"(1, -3)",3101,4.557817603819998,16.080551145648403
"(1, -1)",3782,4.601959677330946,14.929876674683442
"(1, 0)",4431,4.715757961577795,11.806574227120276
"(1, 1)",3587,4.6241966419287355,13.848339200646173
"(1, 3)",2931,4.5258554359487,16.423539782028634
"(2, -3)",2769,4.512898376342787,15.047631282298395
"(2, 0)",3665,4.621728876232019,14.943315798381512
"(2, 3)",3305,4.59133426444818,13.192458851825021
"(3, -3)",3464,4.626142628161102,12.062338594254355
"(3, -2)",2531,4.691280823423302,10.108000123099544
"(3, -1)",3095,4.601460253074174,13.698193261592
"(3, 0)",3927,4.650194625404757,12.15883854993137
"(3, 1)",3261,4.578731061883355,14.269954246294853
"(3, 2)",3301,4.5214989734299085,17.482689146381276
"(3, 3)",2377,4.424376476072976,20.13999184385925
"(4, 0)",1780,4.2853940710361105,36.82289123157559
"(5, 0)",1109,4.236640165840875,40.37026239180779
"(6, 0)",1619,4.268656281978756,37.31363416038194
