Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-5, 0)",1635,4.239996471014307,39.41542700900621
"(-5, 0)",1432,4.189300123912901,38.3467950610608
"(-4, 0)",1605,4.220114053286373,36.95699422962632
"(-4, 0)",1747,4.279741404617888,37.02942734441339
"(-3, 0)",3460,4.601178507226008,13.896086854829923
"(-3, 0)",4439,4.686993638391222,10.951606775948228
"(-2, -1)",3925,4.640199714909559,13.119974364835285
"(-2, -1)",3722,4.656956862722537,10.298487300112413
"(-2, 0)",4849,4.699045717679739,11.098547813865899
"(-2, 0)",3800,4.603916595511085,14.896069101381352
"(-2, 1)",5210,4.653619072584746,10.828858986580753
"(-1, -1)",4342,4.5862812315185915,11.991733728421949
"(-1, -1)",3916,4.630023240052501,12.976553410185952
"(-1, 0)",4130,4.648192840347263,11.558428197297317
"(-1, 0)",3446,4.567192929549762,14.856725815693993
"(-1, 1)",3545,4.576529759245762,15.423224283449747
"(-1, 1)",2102,4.620903116209441,11.71336999485723
"(0, -1)",3305,4.587539105416051,13.108634576511776
"(0, 0)",3786,4.608789872952545,13.282501404738511
"(0, 0)",3999,4.636790745240019,12.9292116421943
"(0, 0)",4449,4.683601946421396,11.204238951595109
"(0, 1)",4763,4.654769137979261,11.96673553085875
"(0, 1)",3774,4.5876683855623845,15.165649137887742
"(1, -1)",3623,4.602646167832419,11.642443983606798
"(1, 0)",5032,4.709273091756285,10.862239751453163
"(1, 0)",3463,4.577469034257202,14.981267196780555
"(1, 1)",3201,4.580433767019526,14.485563293158512
"(1, 1)",4731,4.677618724576322,11.332069557654467
"(2, -1)",4291,4.66565018936965,10.92898736815469
"(2, -1)",3427,4.572538813796914,13.82422431760936
"(2, 0)",5006,4.6799276241354795,11.468321330565162
"(2, 0)",3513,4.571622766427968,15.350038195444025
"(2, 1)",4479,4.644595063444871,12.091287228941752
"(3, 0)",4420,4.635213255909207,12.160431985492218
"(3, 0)",3081,4.519984809506749,16.919770687016733
"(3, 0)",3331,4.544474750153159,16.275535899683128
"(4, 0)",1064,4.218688911748869,40.35935424556963
"(4, 0)",1825,4.2673080167884,35.747441553664586
"(5, 0)",1654,4.1952145485730234,38.17824329657401
"(5, 0)",1704,4.257748674713198,38.316831282261155
"(6, 0)",1652,4.2220260872694135,37.48974464517073
