Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-5, 0)",1845,4.3857118154716925,30.084623145941336
"(-4, 0)",3297,4.412148316007425,28.765247459889046
"(-3, 0)",6315,4.797328354222157,10.576958097187712
"(-1, -1)",6889,4.7544254943482915,10.711013835963508
"(-1, 1)",5887,4.726516103538796,11.695391383356611
"(0, 0)",6175,4.775016159345526,10.25989188464614
"(0, 0)",3784,4.623564852188018,14.717980171623989
"(0, 0)",5662,4.736510360293677,10.950393005595302
"(0, 1)",3291,4.515838440313939,18.912473473922073
"(0, 1)",6192,4.747528957671645,11.429932197718358
"(0, 2)",2889,4.46053197464073,21.115287777913544
"(0, 2)",5472,4.741315288713606,11.860848402727699
"(0, 3)",2721,4.500176253110069,18.45240240890632
"(0, 3)",5306,4.699195173966938,12.476436337526895
"(0, 4)",2382,4.3874656227390085,30.314556404144813
"(0, 5)",2862,4.371004439242702,31.24134926082261
"(0, 6)",2156,4.305831995382462,34.93845848327075
"(0, 7)",1637,4.229979748159032,38.14628552507734
"(1, -1)",5301,4.714896929613936,11.7277997199091
"(1, 1)",5690,4.758367746658879,11.309718953161031
"(2, 0)",3253,4.549753644076763,17.81232782076085
"(2, 0)",6674,4.765268740909772,10.880968540547597
"(3, 0)",6294,4.751675951482486,11.440019363140335
"(4, 0)",1737,4.340972718363812,32.7240684440196
"(5, 0)",2212,4.334843346579553,33.01402897462512
"(6, 0)",2877,4.354631532408802,31.96368803051746
