Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-5, 0)",2194,4.265502962178206,37.515768313813204
"(-4, 0)",2023,4.2875923024457485,35.98706787968385
"(-3, -1)",3463,4.486999625799726,18.95517119064912
"(-3, 0)",2843,4.461070444743447,20.726369096662392
"(-3, 1)",3792,4.477377523326672,20.138077405625907
"(-2, -2)",4381,4.536654782559094,17.46591455995389
"(-2, -1)",3505,4.546185104821828,17.544322071563563
"(-2, -1)",3284,4.561949367263137,17.059764378916753
"(-2, 0)",3498,4.56594080523716,17.42576045069376
"(-2, 1)",3136,4.503304555900918,19.56913311366472
"(-2, 2)",2973,4.472223389709814,19.733089871916704
"(-1, -2)",3954,4.5306766299919845,17.7866777137601
"(-1, -1)",3841,4.605942183773031,15.303479152912146
"(-1, 0)",4960,4.609170543479495,15.308864541773913
"(-1, 1)",4534,4.528265335817554,17.609617623618103
"(-1, 2)",2982,4.500880655373883,19.435567187615035
"(0, -3)",3898,4.534804634860686,17.830541130360775
"(0, -2)",3819,4.550329993730243,17.30205811236889
"(0, -1)",3837,4.631361282399144,14.487741496597273
"(0, 0)",4117,4.614948336365414,14.907044016938304
"(0, 1)",4786,4.605787321779792,15.517656969420834
"(0, 3)",2749,4.439235395717955,20.979102326591214
"(1, -2)",3800,4.545186731887265,17.70789424198677
"(1, -1)",4432,4.601622197095619,15.541236295144397
"(1, 0)",4089,4.627084143522048,14.357268553951021
"(1, 1)",4217,4.577567009947955,16.402833244964487
"(1, 2)",2854,4.4699201448729005,20.48622363444484
"(1, 3)",3275,4.478087212882753,19.274574479800517
"(2, -2)",3766,4.5224345304380735,18.468431779554486
"(2, -1)",3690,4.540867321137243,18.171123413481414
"(2, 0)",3825,4.609289311236391,15.280013979716097
"(2, 1)",3552,4.531938315771722,17.994433126231357
"(2, 2)",3185,4.5203536604513275,18.561723775145335
"(3, -1)",3680,4.51645150865915,18.61886722855775
"(3, 0)",3760,4.524604688304901,18.26061885499407
"(3, 1)",3455,4.545173082752017,16.712269644240642
"(4, 0)",2240,4.306121947233397,35.339882083437026
"(5, -1)",1585,4.269805867977875,37.2567680699524
"(5, 0)",1941,4.265813526765397,37.156215183472284
"(5, 0)",1699,4.263828018837173,37.69123675577744
"(5, 1)",1619,4.263448224952742,37.39771945236286
"(6, 0)",1925,4.243284877555683,38.6629731608062
